ID,Grupo,Fabricante,Modelo,Ano
213,CLASSIC MUSCLE,1973,Holden,HQ Monaro GTS 350
214,VANS AND UTILITY,1974,Holden,Sandman HQ panel van
215,CLASSIC MUSCLE,1977,Holden,Torana A9X
216,RETRO HOT HATCH,1974,Honda,Civic RS
217,RETRO HOT HATCH,1991,Honda,CR-X SiR
218,RETRO SPORTS CARS,1992,Honda,NSX-R
219,RETRO HOT HATCH,1994,Honda,Prelude Si
220,RETRO HOT HATCH,1997,Honda,Civic Type R
221,MODERN SPORTS CARS,2003,Honda,S2000
222,RETRO HOT HATCH,2004,Honda,Civic Type R
223,RETRO SPORTS CARS,2005,Honda,NSX-R
224,RETRO SPORTS CARS,2005,Honda,NSX-R GT
225,HOT HATCH,2007,Honda,Civic Type R
226,MODERN SPORTS CARS,2009,Honda,S2000 CR
228,RALLY MONSTERS,2016,Honda,Civic Coupe
229,SUPER HOT HATCH,2018,Honda,Civic Type R
230,RODS AND CUSTOMS,1955,Hoonigan,Chevrolet Bel Air
231,DRIFT CARS,1965,Hoonigan,"Ford ""Hoonicorn"" Mustang"
232,DRIFT CARS,1965,Hoonigan,GYMKHANA 10 Ford Hoonicorn Mustang
233,CLASSIC MUSCLE,1972,Hoonigan,Chevrolet Napalm Nova
234,DRIFT CARS,1977,Hoonigan,"GYMKHANA 10 Ford F-150 ""Hoonitruck"""
235,RALLY MONSTERS,1978,Hoonigan,Ford Escort RS1800
236,RALLY MONSTERS,1986,Hoonigan,Ford RS200 Evolution
237,RETRO SUPERCARS,1991,Hoonigan,Rauh-Welt Begriff Porsche 911 Turbo
238,RALLY MONSTERS,1991,Hoonigan,GYMKHANA 10 Ford Escort Cosworth Group A
239,DRIFT CARS,1992,Hoonigan,Mazda RX-7 Twerkstallion
240,RALLY MONSTERS,1994,Hoonigan,Ford Escort RS Cosworth WRC “Cossie V2”
241,RALLY MONSTERS,2016,Hoonigan,GYMKHANA 10 Ford Focus RS RX
242,RODS AND CUSTOMS,1969,Hot Wheels,Twin Mill
243,RODS AND CUSTOMS,2011,Hot Wheels,Bone Shaker
244,MODERN MUSCLE,2014,HSV,GEN-F GTS
245,VANS AND UTILITY,2014,HSV,Limited Edition GEN-F GTS Maloo
246,PICK-UP & 4X4'S,2006,HUMMER,H1 Alpha
247,SUPER HOT HATCH,2019,Hyundai,Veloster N
248,SUPER SALOONS,2015,Infiniti,Q60 Concept
249,PICK-UP & 4X4'S,1970,International,Scout 800A
250,CLASSIC RACERS,1956,Jaguar,D-Type
251,CLASSIC RACERS,1959,Jaguar,Mk II 3.8
252,RARE CLASSICS,1961,Jaguar,E-type
253,CLASSIC RACERS,1964,Jaguar,Lightweight E-Type
254,RETRO SUPERCARS,1991,Jaguar,Sport XJR-15
255,RETRO SUPERCARS,1993,Jaguar,XJ220
256,MODERN SUPERCARS,2010,Jaguar,C-X75
257,GT CARS,2012,Jaguar,XKR-S
258,GT CARS,2015,Jaguar,F-Type R Coupé
259,SUPER SALOONS,2015,Jaguar,XFR-S
260,SUPER SALOONS,2015,Jaguar,XE-S
261,TRACK TOYS,2016,Jaguar,F-TYPE Project 7
262,SPORTS UTILITY HEROES,2017,Jaguar,F-PACE S
263,SPORTS UTILITY HEROES,2018,Jaguar,I-PACE
264,PICK-UP & 4X4'S,1976,Jeep,CJ5 Renegade
265,PICK-UP & 4X4'S,2012,Jeep,Wrangler Rubicon
266,SPORTS UTILITY HEROES,2014,Jeep,Grand Cherokee SRT
267,UNLIMITED OFFROAD,2016,Jeep,Trailcat
268,SPORTS UTILITY HEROES,2018,Jeep,Grand Cherokee Trackhawk
269,PICK-UP & 4X4'S,2020,Jeep,Gladiator Rubicon
270,HYPERCARS,2002,Koenigsegg,CC8S
271,EXTREME TRACK TOYS,2008,Koenigsegg,CCGT
272,HYPERCARS,2015,Koenigsegg,One:1
273,HYPERCARS,2016,Koenigsegg,Regera
274,HYPERCARS,2017,Koenigsegg,Agera RS
275,HYPERCARS,2020,Koenigsegg,Jesko
276,TRACK TOYS,2013,KTM,X-Bow R
277,RARE CLASSICS,1967,Lamborghini,Miura P400
278,PICK-UP & 4X4'S,1986,Lamborghini,LM 002
